Name,Wiki Summary
General Ban Ki-moon,"Ban Ki-moon (Korean: 반기문; Hanja: 潘基文; Korean pronunciation: [ban.ɡi.mun]; born 13 June 1944) is a South Korean politician and diplomat who served as the eighth Secretary-General of the United Nations from January 2007 to December 2016. Before becoming the Secretary-General, Ban was a career diplomat in South Korea's Ministry of Foreign Affairs and in the United Nations."
January,January is the first month of the year in the Julian and Gregorian calendars and the first of seven months to have a length of 31 days. The first day of the month is known as New Year's Day.
John Newhouse,"Wilfred John Newhouse (February 6, 1929 – December 10, 2016) was an American journalist and author. He was best known as the author of  the book War and Peace in the Nuclear Age, published in 1989 as companion to a PBS television series."
John Kerry OLD,"John Forbes Kerry (born December 11, 1943) is an American politician and diplomat who is currently the first United States special presidential envoy for climate. A member of the Forbes family and Democratic Party, he previously served as the 68th United States secretary of state from 2013 to 2017 under Barack Obama."
Lassina Zerbo,Lassina Zerbo (born 10 October 1963) is a Burkinabé politician and scientist who served as the Prime Minister of Burkina Faso from 2021 to 2022. Prior to that he was the Executive Secretary of the Comprehensive Nuclear-Test-Ban Treaty Organization.
Mitt Romney,"Willard Mitt Romney (born March 12, 1947) is an American politician, lawyer and businessman serving as the junior United States senator from Utah since January 2019, succeeding Orrin Hatch. He served as the 70th governor of Massachusetts from 2003 to 2007 and was the Republican Party's nominee for president of the United States in the 2012 election, losing to the then incumbent president, Barack Obama."
Evan Montgomery,"Evan Neal (born September 19, 2000) is an American football offensive tackle. He played college football at the University of Alabama."
Ashton B Carter OLD,"Leslie Barbara Ashton (née Carter) (June 6, 1986 – January 31, 2012) was an American singer best known as the sister of Backstreet Boys member Nick Carter and singer Aaron Carter.


== Life and family ==
Leslie Carter was born in Tampa, Florida, the third of five children of Jane Elizabeth Spaulding Carter and the late Robert Carter (1952–2017)."
Elizabeth Warren,"Elizabeth Ann Warren (née Herring; born June 22, 1949) is an American politician and former law professor who is the senior United States senator from Massachusetts, serving since 2013. A member of the Democratic Party and regarded as a progressive, Warren has focused on consumer protection, economic opportunity, and the social safety net while in the Senate."
Samantha Power,"Samantha Jane Power (born September 21, 1970) is an Irish-American journalist, diplomat and government official who is currently serving as the Administrator of the United States Agency for International Development. She previously served as the 28th United States Ambassador to the United Nations from 2013 to 2017."
Howard LaFranchi,The Isthmus of Tehuantepec (Spanish pronunciation: [tewanteˈpek]) is an isthmus in Mexico. It represents the shortest distance between the Gulf of Mexico and the Pacific Ocean.
Kathy Serra,"Katherine Whitton Baker (born June 8, 1950) is an American actress. Baker began her career in theater and made her screen debut in the 1983 drama film The Right Stuff."
Gary Ross,"Gary Ross (born November 3, 1956) is an American film director, writer, and producer. He is best known for writing and directing the fantasy comedy-drama film Pleasantville (1998), the sports drama film Seabiscuit (2003), the sci-fi action film The Hunger Games (2012), and the heist comedy film Ocean's 8 (2018)."
Josh Earnest OLD,The Green Mile is a 1999 American fantasy drama film written and directed by Frank Darabont and based on Stephen King's 1996 novel of the same name. It stars Tom Hanks as a death row prison guard during the Great Depression who witnesses supernatural events following the arrival of an enigmatic convict (Michael Clarke Duncan) at his facility.
Steven Aftergood,Steven Aftergood is a critic of U.S. government secrecy policy. He directs the Federation of American Scientists Project on Government Secrecy and is the author of the Federation publication Secrecy News.
Dennis Wilder,"National Lampoon's Van Wilder: The Rise of Taj (credited as National Lampoon's Van Wilder 2: The Rise of Taj from the film) is a 2006 sequel to the 2002 comedy National Lampoon's Van Wilder starring Kal Penn. Despite the film's title, Ryan Reynolds does not reprise the role of Van Wilder, and the character is absent from the film."
Report RAND,"The RAND Corporation (""research and development"") is an American nonprofit global policy think tank created in 1948 by Douglas Aircraft Company to offer research and analysis to the United States Armed Forces. It is financed by the U.S. government and private endowment, corporations, universities and private individuals.The company has grown to assist other governments, international organizations, private companies and foundations with a host of defense and non-defense issues, including healthcare."
Nursultan Nazarbayev,"Nursultan Abishuly Nazarbayev (Kazakh: Нұрсұлтан Әбішұлы Назарбаев, romanized: Nūrsūltan Äbışūly Nazarbaev, pronounced [nʊrsʊlˈtɑn æbəɕʊˈlə nɑzɑɾˈbɑjɪf]) or Nursultan Abishevich Nazarbayev (Russian: Нурсултан Абишевич Назарбаев, pronounced [nʊrsʊɫˈtan ɐˈbʲiʂɨvʲɪtɕ nəzɐrˈba(j)ɪf]; born 6 July 1940) is a Kazakh politician who served as the first President of Kazakhstan, in office from 24 April 1990 until his formal resignation on 20 March 2019, and as the Chairman of the Security Council of Kazakhstan from 21 August 1991 to 5 January 2022, holding the title Elbasy (meaning ""Leader of the Nation"") since 14 June 2010. He was one of the longest-ruling non-royal leaders in the world, having led Kazakhstan for nearly three decades, excluding chairmanship in the Security Council after the end of his presidency."
Mark C. Toner,"Mark Christopher Toner is a U.S. Foreign Service Officer and former Deputy Spokesperson for the United States Department of State.


== Early life and education ==
Toner was raised in Chadds Ford, Pennsylvania, graduating from the Salesianum School in nearby Wilmington, Delaware in 1982."
Michael Crowley,"Michael Leland Crowley (born April 1, 1972) is an American journalist who is a White House correspondent for The New York Times. Until May 2019, he was White House and national security editor for Politico."
Stephen Hawkings,"Stephen William Hawking  (8 January 1942 – 14 March 2018) was an English theoretical physicist, cosmologist, and author who, at the time of his death, was director of research at the Centre for Theoretical Cosmology at the University of Cambridge. Between 1979 and 2009, he was the Lucasian Professor of Mathematics at the University of Cambridge."
Sheila Smith,"Sheila Kaye-Smith (4 February 1887 – 14 January 1956) was an English writer, known for her many novels set in the borderlands of Sussex and Kent in the English regional tradition. Her 1923 book The End of the House of Alard became a best-seller, and gave her prominence; it was followed by other successes, and her books enjoyed worldwide sales."
Jim Jeffrey,"James Franklin Jeffrey (born February 8, 1946) is an American diplomat who served most recently as the United States Special Representative for Syria Engagement and the Special Envoy to the International military intervention against ISIL.He has held senior assignments in Washington, D.C., and abroad, including as United States Ambassador to Iraq (2010–2012); United States Ambassador to Turkey (2008–2010); Deputy National Security Advisor (2007–2008); and United States Ambassador to Albania (2002–2004). In 2010 Jeffrey was appointed to the highest rank in the U.S. Foreign Service, Career Ambassador."
Paul N. Schwartz,Professor and author Paul Schwartz (born 1959) is an expert in information privacy law. He is the Jefferson E. Peyser Professor at the UC Berkeley School of Law and a Director of the Berkeley Center for Law and Technology.
